ablation,fold,metric,primary,ablation_value,degradation_positive_is_worse
no_structured_masking,1,mean_cancer_stratified_time_dependent_auc,0.658458654226092,0.6738340275329575,-0.015375373306865558
no_structured_masking,2,mean_cancer_stratified_time_dependent_auc,0.6740885847332052,0.6514369369517645,0.022651647781440687
no_structured_masking,3,mean_cancer_stratified_time_dependent_auc,0.7159149201039748,0.6463357830805769,0.06957913702339791
no_structured_masking,4,mean_cancer_stratified_time_dependent_auc,0.686497365910098,0.6435291331030174,0.04296823280708062
no_structured_masking,5,mean_cancer_stratified_time_dependent_auc,0.6550722683873094,0.6714561163943035,-0.016383848006994106
no_structured_masking,1,integrated_ipcw_ece,0.03172344245323376,0.028706584553161506,-0.003016857900072254
no_structured_masking,2,integrated_ipcw_ece,0.03591116243722868,0.028977975007077432,-0.006933187430151248
no_structured_masking,3,integrated_ipcw_ece,0.05273268332032244,0.02760963544251249,-0.02512304787780995
no_structured_masking,4,integrated_ipcw_ece,0.033677141976982405,0.03645987772992188,0.002782735752939476
no_structured_masking,5,integrated_ipcw_ece,0.02682208289718735,0.049932770382318,0.02311068748513065
no_subset_consistency,1,c_index,0.7850380783410034,0.781845434337804,0.0031926440031994074
